Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 4, Mem 6	-77.010773	-84.657082	11.431943	-2.269496	-1.516139	0.000000	Cc1c(c(c(c(c1C(Cc2ccc(c(c2)O)OC)O)C)O)O)C
Clu 3, Mem 42	-77.000305	-76.342628	9.785397	-4.388424	-6.054650	0.000000	Cc1cc(cc(c1N)Cl)C(Cc2ccc(c(c2)O)OC)O
Clu 58, Mem 7	-76.970322	-79.485596	10.041729	-3.740032	-3.786419	0.000000	CCCNc1c(cc(cc1Cl)C(Cc2ccc(c(c2)O)OC)O)Cl
Clu 68, Mem 2	-76.965378	-89.004143	13.147049	-0.928556	-0.179726	0.000000	Cc1cc(cc(c1O)C[NH2+]C)C(Cc2ccc(c(c2)O)OC)O
Clu 68, Mem 24	-76.952400	-78.510475	14.596495	-1.657908	-11.380509	0.000000	COc1ccc(cc1O)CC(c2ccc(c(c2)NC(=O)OC)N)O
Clu 3, Mem 38	-76.940002	-85.948486	15.330847	-2.548112	-3.774239	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)Cl)N)C(=O)N)O
Clu 1, Mem 3	-76.937859	-84.681831	14.450386	-3.669659	-3.036750	0.000000	Cc1c[nH]c2c1c(cc(c2O)N)C(Cc3ccc(c(c3)O)OC)O
Clu 46, Mem 2	-76.936584	-82.280304	12.425847	-3.809071	-3.273069	0.000000	CNc1cc(cc(c1)C(=O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 73, Mem 3	-76.927124	-87.291039	11.645567	-0.826504	-0.455152	0.000000	Cc1c(cc(c(c1N)O)C(C)(C)C)C(Cc2ccc(c(c2)O)OC)O
Clu 0, Mem 73	-76.884369	-89.221405	14.091048	-0.829730	-0.924280	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)OC)CO)O)O
Clu 52, Mem 2	-76.871651	-83.471786	13.187862	-4.020418	-2.567312	0.000000	CCNc1ccc(cc1NC(=O)OC)C(Cc2ccc(c(c2)O)OC)O
Clu 67, Mem 4	-76.871201	-86.106392	12.078328	-1.367273	-1.475853	0.000000	CNc1cc(cc(c1C(=O)OC)Cl)C(Cc2ccc(c(c2)O)OC)O
Clu 50, Mem 2	-76.864578	-72.020874	10.861365	-3.111885	-12.593190	0.000000	Cc1cc(c(cc1C(Cc2ccc(c(c2)O)OC)O)N)O
Clu 50, Mem 8	-76.849243	-70.979553	9.822302	-4.707994	-10.983994	0.000000	Cc1cc(c(cc1C(Cc2ccc(c(c2)O)OC)O)O)N
Clu 46, Mem 18	-76.844414	-84.684395	10.756465	-1.052946	-1.863536	0.000000	CNc1cc(cc(c1)OC)C(Cc2ccc(c(c2)O)OC)O
Clu 6, Mem 8	-76.836502	-85.410431	11.831369	-1.653372	-1.604064	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)N)N)C(F)(F)F)O
Clu 0, Mem 13	-76.825455	-91.269127	16.164810	-0.960347	-0.760804	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)O)OC)NC=O)O
Clu 40, Mem 9	-76.806572	-86.294182	14.788883	-0.572931	-4.728341	0.000000	Cc1cc(cc2c1NCNC2=O)C(Cc3ccc(c(c3)O)OC)O
Clu 48, Mem 11	-76.801674	-85.298203	11.069991	-1.542781	-1.030687	0.000000	Cc1c(c(c(cc1C(Cc2ccc(c(c2)O)OC)O)O)NC(C)C)C
Clu 3, Mem 3	-76.784599	-88.514641	12.537639	-0.582377	-0.225221	0.000000	CCNc1cc(ccc1O)C(Cc2ccc(c(c2)O)OC)O
Clu 3, Mem 60	-76.757683	-79.285637	9.974871	-0.914802	-6.532118	0.000000	Cc1ccc(cc1C(Cc2ccc(c(c2)O)OC)O)NC
Clu 63, Mem 2	-76.731056	-78.441803	11.819935	-5.056696	-5.052485	0.000000	Cc1c(c(c(cc1C(Cc2ccc(c(c2)O)OC)O)C(=O)OC)NC)C
Clu 59, Mem 7	-76.720276	-81.084747	11.324276	-6.831739	-0.128066	0.000000	Cc1cc(cc(c1)NC=O)C(Cc2ccc(c(c2)O)OC)O
Clu 28, Mem 6	-76.704544	-95.027489	21.377596	-0.814722	-2.239918	0.000000	CCNc1c2c(c[nH]c2nc(n1)C(Cc3ccc(c(c3)O)OC)O)C
Clu 48, Mem 2	-76.702011	-85.915894	9.238780	-0.000626	-0.024286	0.000000	CCNc1ccc(cc1F)C(Cc2ccc(c(c2)O)OC)O
Clu 81, Mem 9	-76.686043	-92.400223	18.039600	-1.499194	-0.826225	0.000000	CCOc1c(cc(cc1NC(=O)C)C(Cc2ccc(c(c2)O)OC)O)N
Clu 50, Mem 24	-76.682411	-87.061104	13.192078	-1.998768	-0.814614	0.000000	CCc1c(cc(c(c1O)O)O)C(Cc2ccc(c(c2)O)OC)O
Clu 8, Mem 9	-76.677010	-75.815346	16.969234	-3.205980	-14.624925	0.000000	C[NH+](C)Cc1cc(cc(c1O)NC=O)C(Cc2ccc(c(c2)O)OC)O
Clu 40, Mem 13	-76.666969	-80.441597	13.885295	-2.112659	-7.998008	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)C(CCN3)O)O
Clu 1, Mem 5	-76.661163	-85.114006	17.221159	-3.935022	-4.833301	0.000000	CC[n+]1c(cc(c2c1[nH]nc2)C(Cc3ccc(c(c3)O)OC)O)N
Clu 0, Mem 36	-76.610931	-85.367500	9.965974	-0.337873	-0.871530	0.000000	CCc1cc(cc(c1NC)CC)C(Cc2ccc(c(c2)O)OC)O
Clu 3, Mem 61	-76.600174	-82.061874	8.389046	-0.625880	-2.301468	0.000000	CNc1ccc(c(c1)C(Cc2ccc(c(c2)O)OC)O)Cl
Head 10, Size=4	-76.577003	-86.103081	14.395433	-0.904631	-3.964734	0.000000	Cc1c(c(c(c(c1NC)C)NC=O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 64, Mem 4	-76.559433	-90.534950	15.275298	-1.067146	-0.232641	0.000000	Cc1cc(c(cc1C(Cc2ccc(c(c2)O)OC)O)NC(=O)C)N
Head 56, Size=9	-76.516838	-83.590584	15.261742	-3.711951	-4.476041	0.000000	Cc1cc(cc(c1NCCCl)C(=O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 0, Mem 46	-76.512985	-86.158119	18.305923	-3.952014	-4.708779	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)OC)O)C(=O)N)O
Clu 68, Mem 12	-76.512794	-68.249947	15.921466	-1.756746	-22.427582	0.000000	COc1ccc(cc1O)CC(c2cc(c(c([nH+]2)NC(=O)OC)N)N)O
Clu 15, Mem 5	-76.511627	-71.747215	16.886492	-5.126301	-16.524603	0.000000	CNc1cc(cc2c1cn[nH]2)C(Cc3ccc(c(c3)O)OC)O
Clu 50, Mem 4	-76.508606	-73.967331	9.981236	-5.006710	-7.515794	0.000000	COc1ccc(cc1O)CC(c2ccc(c(c2Cl)O)O)O
Clu 81, Mem 6	-76.503204	-96.684433	21.454903	-0.966182	-0.307487	0.000000	CCNc1c(c(cc(n1)C(Cc2ccc(c(c2)O)OC)O)C)C(=O)N
Clu 14, Mem 5	-76.459282	-84.243660	15.887119	-1.417869	-6.684885	0.000000	COc1ccc(cc1O)CC(c2cc([nH+]c3c2CC(=O)N3)N)O
