Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 56, Mem 8	-91.745491	-95.999542	11.434338	-4.517614	-2.662676	0.000000	CCNc1c(cc(cc1Cl)C(Cc2ccc(c(c2)O)OC)O)C(=O)OC
Clu 17, Mem 8	-91.536522	-94.205177	8.555470	-4.079931	-1.806882	0.000000	COc1ccc(cc1O)CC(c2cc3c(cc[nH+]c3c(c2)F)N)O
Clu 55, Mem 4	-91.535789	-97.330467	10.854385	-3.063305	-1.996401	0.000000	CCNc1cc(cc(c1)C(F)(F)F)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 12	-91.520645	-89.115501	9.701616	-5.303903	-6.802861	0.000000	Cc1cc(cc2c1C(CN2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 1, Mem 3	-91.431778	-89.519699	13.234220	-1.099229	-14.047071	0.000000	Cc1c[nH]c2c1c(cc(c2O)N)C(Cc3ccc(c(c3)O)OC)O
Clu 24, Mem 2	-91.316658	-92.422913	7.531575	-4.772948	-1.652372	0.000000	Cc1cc(c2ccc[nH+]c2c1C)C(Cc3ccc(c(c3)O)OC)O
Clu 7, Mem 10	-91.294022	-95.218445	17.343744	-3.231660	-10.187663	0.000000	CC(=O)Nc1ccc(cc1NC)C(Cc2ccc(c(c2)O)OC)O
Clu 2, Mem 24	-91.283333	-86.519989	12.314186	-6.683812	-10.393723	0.000000	CCc1c(cc(cc1N)C(Cc2ccc(c(c2)O)OC)O)N
Clu 2, Mem 14	-91.269966	-88.995514	12.284325	-4.388843	-10.169937	0.000000	CCNc1ccc(cc1N)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 21	-91.265999	-96.047684	8.961351	-3.122906	-1.056760	0.000000	Cc1c(c2c(cc1C(Cc3ccc(c(c3)O)OC)O)C(CN2)C)C
Clu 21, Mem 5	-91.237442	-94.757790	7.350924	-3.174878	-0.655694	0.000000	Cc1c(c(c2cc[nH]c2c1C)C(Cc3ccc(c(c3)O)OC)O)C
Clu 15, Mem 4	-91.223831	-98.204826	11.398752	-4.068190	-0.349563	0.000000	Cc1c[nH]c2c1cc(cc2NC=O)C(Cc3ccc(c(c3)O)OC)O
Clu 68, Mem 20	-91.216644	-95.552147	13.226337	-6.672348	-2.218491	0.000000	CCOC(=O)Nc1cc(cc(c1C)N)C(Cc2ccc(c(c2)O)OC)O
Clu 17, Mem 2	-91.160095	-91.869324	10.794794	-7.011306	-3.074260	0.000000	Cc1cc(cc2c1[nH+]ccc2NC)C(Cc3ccc(c(c3)O)OC)O
Clu 40, Mem 23	-91.146393	-96.275543	9.380797	-1.804064	-2.447582	0.000000	CC1CCNc2c1c(cc(c2)C(Cc3ccc(c(c3)O)OC)O)Cl
Clu 28, Mem 14	-91.141251	-97.368263	9.632046	-0.540784	-2.864248	0.000000	CCNc1cc([nH+]c2c1c(cs2)N)C(Cc3ccc(c(c3)O)OC)O
Clu 53, Mem 12	-91.098785	-88.596275	17.364632	-7.216289	-12.650848	0.000000	CNC(=O)c1cc(cc(c1O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 15, Mem 27	-91.085960	-92.688759	7.446119	-3.791344	-2.051974	0.000000	Cc1c([nH]c2c1cc(cc2Cl)C(Cc3ccc(c(c3)O)OC)O)C
Head 12, Size=33	-90.994514	-89.740517	12.467546	-4.500354	-9.221194	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)O)CCN3)O
Clu 73, Mem 2	-90.985222	-93.716301	10.615610	-5.512619	-2.371906	0.000000	CC(C)(C)c1cc(c(c(c1O)O)F)C(Cc2ccc(c(c2)O)OC)O
Clu 65, Mem 5	-90.956200	-85.559448	7.999756	-7.845751	-5.550755	0.000000	CCNc1c(cc(cc1C(C)(C)C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 27, Mem 8	-90.947273	-91.714554	7.542150	-3.731921	-3.042946	0.000000	CNc1cc(cc2c1cccc2)C(Cc3ccc(c(c3)O)OC)O
Clu 27, Mem 2	-90.938484	-93.207176	10.022512	-5.204286	-2.549538	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)c(cc[nH+]3)N)O
Head 44, Size=1	-90.930901	-95.458427	11.966841	-1.919704	-5.519604	0.000000	COc1ccc(cc1O)CC(c2cc(c3c(c2CCCl)cc[nH]3)O)O
Clu 23, Mem 8	-90.914574	-95.033997	14.503611	-6.102345	-4.281844	0.000000	CC[n+]1c(cc(c2c1n[nH]c2)NC)C(Cc3ccc(c(c3)O)OC)O
Clu 17, Mem 3	-90.860817	-91.132431	10.712406	-7.707260	-2.733535	0.000000	CNc1cc[nH+]c2c1cc(cc2F)C(Cc3ccc(c(c3)O)OC)O
Head 42, Size=1	-90.857018	-85.674934	11.078018	-3.323711	-12.936390	0.000000	Cc1c[nH]c2c1C=C(CC2)C(Cc3ccc(c(c3)O)OC)O
Clu 12, Mem 4	-90.844688	-90.911552	12.855206	-4.376086	-8.412252	0.000000	Cc1c(cc2c(c1N)NCC2)C(Cc3ccc(c(c3)O)OC)O
Clu 53, Mem 2	-90.784203	-87.908241	14.207060	-4.521569	-12.561460	0.000000	C[NH2+]Cc1cc(cc(c1O)O)C(Cc2ccc(c(c2)O)OC)O
Head 9, Size=8	-90.731621	-96.167572	13.260607	-5.399288	-2.425373	0.000000	Cc1c(c(c(c(c1C(Cc2ccc(c(c2)O)OC)O)C)NC)NC=O)C
Clu 63, Mem 2	-90.726913	-96.293152	9.857145	-3.583151	-0.707754	0.000000	Cc1c(c(c(cc1C(Cc2ccc(c(c2)O)OC)O)C(=O)OC)NC)C
Clu 52, Mem 5	-90.704979	-97.243530	14.948366	-0.546002	-7.863813	0.000000	Cc1cc(cc(c1O)NC(=O)OC)C(Cc2ccc(c(c2)O)OC)O
Head 31, Size=4	-90.702400	-97.332207	9.430416	-1.280837	-1.519765	0.000000	CNc1cc(c2cccc(c2[nH+]1)F)C(Cc3ccc(c(c3)O)OC)O
Clu 23, Mem 5	-90.568176	-93.916275	7.546135	-3.334232	-0.863806	0.000000	Cc1c[nH]c2c1cc(cc2Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 9, Mem 7	-90.551506	-94.029823	7.343220	-3.401666	-0.463235	0.000000	Cc1c(c(c(c(c1C(Cc2ccc(c(c2)O)OC)O)C)C)NC(C)C)C
Clu 54, Mem 2	-90.537270	-89.917717	9.847193	-4.594737	-5.872008	0.000000	CCNc1ccc(c(c1)F)C(Cc2ccc(c(c2)O)OC)O
Clu 52, Mem 7	-90.516602	-92.758415	14.525571	-2.914881	-9.368871	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)O)Cl)NC(=O)OC)O
Head 19, Size=6	-90.413246	-83.899879	10.540333	-4.274072	-12.779620	0.000000	COc1ccc(cc1O)CC(c2cc(c(c3c2CCCN3)O)Cl)O
Clu 12, Mem 7	-90.388771	-89.330101	9.559483	-3.993889	-6.624264	0.000000	Cc1cc(cc2c1NCC2)C(Cc3ccc(c(c3)O)OC)O
Clu 6, Mem 6	-90.338783	-91.760979	10.152575	-3.133672	-5.596708	0.000000	CNc1ccc(cc1C(F)(F)F)C(Cc2ccc(c(c2)O)OC)O
Clu 59, Mem 2	-90.296013	-91.304382	9.546370	-0.250467	-8.287529	0.000000	CCNc1cccc(c1F)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 9	-90.291481	-89.165939	9.724976	-4.190441	-6.660079	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)Cl)NCC3)O
Clu 15, Mem 12	-90.284904	-88.445824	13.783405	-13.223687	-2.398799	0.000000	Cc1c[nH+]c2n1cc(nc2NC)C(Cc3ccc(c(c3)O)OC)O
Clu 65, Mem 3	-90.255188	-94.097572	9.150447	-0.942680	-4.365383	0.000000	Cc1cc(cc(c1NC)C(C)(C)C)C(Cc2ccc(c(c2)O)OC)O
Clu 2, Mem 7	-90.242836	-91.558296	10.602291	-3.587240	-5.699595	0.000000	CCNc1c(cc(c(c1C)C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 12, Mem 31	-90.189728	-91.136475	6.508578	-3.527615	-2.034214	0.000000	CN1CCc2c1ccc(c2)C(Cc3ccc(c(c3)O)OC)O
Clu 68, Mem 8	-90.188255	-94.990776	8.334768	-0.072437	-3.459822	0.000000	Cc1cc(c(c(c1C)NCCCCl)C)C(Cc2ccc(c(c2)O)OC)O
Clu 71, Mem 6	-90.088814	-97.805550	11.254224	-3.046563	-0.490932	0.000000	Cc1c(cc(cc1N(C)C=O)C(Cc2ccc(c(c2)O)OC)O)NC
Clu 60, Mem 4	-90.077759	-92.266090	12.074493	-3.730822	-6.155342	0.000000	[H]N=Cc1c(c(sc1NC=O)C(Cc2ccc(c(c2)O)OC)O)C
Clu 73, Mem 3	-90.069046	-89.867256	11.127365	-3.104998	-8.224156	0.000000	Cc1c(cc(c(c1N)O)C(C)(C)C)C(Cc2ccc(c(c2)O)OC)O
Clu 67, Mem 20	-90.046295	-95.140388	12.416168	-4.902972	-2.419098	0.000000	Cc1cc(cc(c1NC(=O)C)C[NH2+]C)C(Cc2ccc(c(c2)O)OC)O
Clu 17, Mem 11	-90.026985	-93.338966	9.308372	-4.762601	-1.233789	0.000000	Cc1cc(c2cc(ccc2[nH+]1)C(Cc3ccc(c(c3)O)OC)O)NC
Clu 21, Mem 2	-90.017197	-93.372345	8.033985	-2.575595	-2.103247	0.000000	Cc1cc(c2c(c([nH]c2[nH+]1)C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 15, Mem 8	-89.962326	-91.696358	17.431570	-1.343765	-14.353772	0.000000	CNc1cc(cc2c1n[nH]c2)C(Cc3ccc(c(c3)O)OC)O
Clu 57, Mem 3	-89.940033	-93.437622	10.913203	-2.763556	-4.652057	0.000000	CCCNc1c(cc(c(c1C)C)C(Cc2ccc(c(c2)O)OC)O)C
